IRIS2	Type	UnderAge25	OverAge65	ForeignPop	LabourForce	MenLabourForce	WomenLabourForce	UnemployedForeigners	UnemployedTotal	UnemployedAge1524	UnemployedOverAge50	UnemployedMen	UnemployedWomen	UnemployedMore1Year	SelfEmployed	InsecureJobs	SteadyJobs	SingleParentFamilies	NoDiplomas	HouseholderAlone	AttendingSchool	BasicGeneralQualifications	GeneralCertificates	LowerTertiaryEducation	HigherEducationalDegree	Students	IndividualHouse	MultipleDwellingUnits	BuiltBefore1968	Builtafter1990	ParkingSpace	NonOwner	Less40m2	Larger150m2	WithoutCar	TwoOrMoreCars	SubsidizedHousing	MedianIncome
1	H	0.341795104	0.157298277	0.029465095	0.454215775	0.5	0.41440678	0.011976048	0.112774451	0.230769231	0.088888889	0.107212476	0.118609407	0.05489022	0.091816367	0.078842315	0.713572854	0.125	0.114888628	0.284883721	1	0.174091442	0.135404455	0.111957796	0.124853458	0.115474795	0.73372093	0.241860465	0.770930233	0.115116279	0.41627907	0.345348837	0.06744186	0.054651163	0.202325581	0.297674419	0.077906977	26380.5
2	H	0.340052016	0.173602081	0.018205462	0.429128739	0.464285714	0.395140665	0	0.048484848	0.108695652	0.049180328	0.051282051	0.045307443	0.025757576	0.089393939	0.084848485	0.774242424	0.108796296	0.092682927	0.219723183	0.98206278	0.216260163	0.104065041	0.096747967	0.134146341	0.143089431	0.944636678	0.032871972	0.925605536	0.010380623	0.583044983	0.133217993	0.029411765	0.096885813	0.134948097	0.352941176	0	29457
3	H	0.418095238	0.07047619	0.107142857	0.486190476	0.54218107	0.437943262	0.027424094	0.22331048	0.333333333	0.101010101	0.210626186	0.236842105	0.136141038	0.02546523	0.148873653	0.600391773	0.27480916	0.220457433	0.309202454	0.994219653	0.226175349	0.104193139	0.08386277	0.047013977	0.148030496	0.061349693	0.926380368	0.160736196	0.004907975	0.212269939	0.87607362	0.055214724	0.009815951	0.229447853	0.158282209	0.852760736	15447
4	H	0.364288561	0.152650458	0.019928258	0.461139896	0.51028481	0.41124498	0.000864304	0.094209162	0.159722222	0.089361702	0.08372093	0.107421875	0.052722558	0.112359551	0.135695765	0.656871219	0.065625	0.098174642	0.246392897	0.994845361	0.175135668	0.118894919	0.119881598	0.16872225	0.144548594	0.725860155	0.216426193	0.583795782	0.082130966	0.647058824	0.269700333	0.07436182	0.116537181	0.149833518	0.419533851	0.035516093	31814
5	H	0.494954859	0.010621349	0.018056293	0.468401487	0.513397642	0.424210526	0.009070295	0.072562358	0.379310345	0.095238095	0.070981211	0.074441687	0.031746032	0.037414966	0.073696145	0.80952381	0.149377593	0.065868263	0.04040404	1	0.174401198	0.116017964	0.116017964	0.134730539	0.244760479	0.953535354	0.04040404	0.006060606	0.141414141	0.931313131	0.533333333	0	0.026262626	0.022222222	0.511111111	0.04040404	35293
6	H	0.350409836	0	0.00102459	0.598360656	0.708097928	0.46741573	0	0.061643836	0.227272727	0.007142857	0.021276596	0.134615385	0.025684932	0.011986301	0.085616438	0.83390411	0.014084507	0.020176545	0.198250729	0.992753623	0.257250946	0.192938209	0.078184111	0.066834805	0.143757881	0.002915452	0.988338192	0	0.032069971	0.183673469	1	0.04664723	0	0.014577259	0.320699708	0	31004
7	H	0.366714184	0.102993585	0.014967926	0.490377762	0.520864382	0.462431694	0.002906977	0.079215116	0.197802198	0.059859155	0.067238913	0.091580502	0.028343023	0.069767442	0.08502907	0.763081395	0.14	0.078606521	0.25047081	0.992941176	0.181777579	0.112550246	0.141134435	0.142474319	0.175971416	0.742937853	0.225047081	0.448210923	0.009416196	0.603578154	0.326741996	0.065913371	0.038606403	0.132768362	0.358757062	0.189265537	29982
8	H	0.431627196	0.038579068	0.045072574	0.478609626	0.523534269	0.439943141	0.012769354	0.126895451	0.307692308	0.108433735	0.127760252	0.126009693	0.078212291	0.027134876	0.114126097	0.729449322	0.197452229	0.097129187	0.226035503	0.984210526	0.176076555	0.098564593	0.100478469	0.102870813	0.277511962	0.376331361	0.618934911	0.071005917	0.015384615	0.613017751	0.698224852	0.039053254	0.020118343	0.126627219	0.261538462	0.597633136	23951.5
9	H	0.358430876	0.052515027	0.017715913	0.55805125	0.566848568	0.550442478	0	0.083900227	0.20754717	0.074766355	0.08423586	0.083601286	0.041950113	0.047052154	0.117346939	0.75	0.207792208	0.05997601	0.310007524	0.988888889	0.142343063	0.114354258	0.143542583	0.24790084	0.159936026	0.413092551	0.572610986	0.060195636	0.002257336	0.850263356	0.543265613	0.061700527	0.011286682	0.102332581	0.348382242	0.18510158	27386
10	H	0.347124825	0.183730715	0.012622721	0.409537167	0.451470588	0.371313673	0	0.090753425	0.25	0.087719298	0.094462541	0.086642599	0.047945205	0.085616438	0.073630137	0.744863014	0.112359551	0.171052632	0.305506217	0.991452991	0.15877193	0.093859649	0.086842105	0.099122807	0.150877193	0.912966252	0.051509769	0.61634103	0.094138544	0.474245115	0.30017762	0.06749556	0.053285968	0.264653641	0.264653641	0.028419183	25552
