IRIS2	Type	UnderAge25	OverAge65	ForeignPop	LabourForce	MenLabourForce	WomenLabourForce	UnemployedForeigners	UnemployedTotal	UnemployedAge1524	UnemployedOverAge50	UnemployedMen	UnemployedWomen	UnemployedMore1Year	SelfEmployed	InsecureJobs	SteadyJobs	SingleParentFamilies	NoDiplomas	HouseholderAlone	AttendingSchool	BasicGeneralQualifications	GeneralCertificates	LowerTertiaryEducation	HigherEducationalDegree	Students	IndividualHouse	MultipleDwellingUnits	BuiltBefore1968	Builtafter1990	ParkingSpace	NonOwner	Less40m2	Larger150m2	WithoutCar	TwoOrMoreCars	SubsidizedHousing	MedianIncome
11	H	0.427802691	0.022720478	0.031988042	0.529745889	0.540606061	0.519174041	0.009029345	0.094243792	0.307189542	0.066445183	0.097533632	0.090909091	0.050790068	0.048532731	0.111173815	0.742663657	0.201793722	0.09204857	0.199468085	0.993243243	0.169212691	0.122600862	0.137877007	0.148061105	0.191147669	0.683510638	0.298758865	0.021276596	0.015070922	0.767730496	0.529255319	0.026595745	0.033687943	0.07358156	0.416666667	0.288120567	29350.5
12	H	0.410650465	0.05575411	0.020729092	0.513581129	0.52690583	0.501369863	0.005567154	0.09881698	0.291044776	0.073943662	0.110638298	0.087431694	0.04940849	0.034794711	0.100904662	0.759220598	0.198067633	0.083061129	0.221770092	0.992110454	0.169388707	0.122725152	0.118058796	0.133924405	0.174055063	0.535096643	0.369277721	0.004069176	0.001017294	0.818921668	0.656154629	0.090539166	0.021363174	0.128179044	0.372329603	0.428280773	26632
13	H	0.437991266	0.019213974	0.027510917	0.52489083	0.541133455	0.510033445	0.010815308	0.102329451	0.295454545	0.09039548	0.111486486	0.093442623	0.049084859	0.054076539	0.109816972	0.732945092	0.229946524	0.06088993	0.165087957	0.995381062	0.160421546	0.138758782	0.141686183	0.175058548	0.200819672	0.541271989	0.439783491	0.00135318	0.00270636	0.928281461	0.603518268	0.02300406	0.033829499	0.075778078	0.376184032	0.458728011	28120
14	A	0.438016529	0.05785124	0.024793388	0.462809917	0.5	0.428571429	0	0.053571429	0	0	0	0.111111111	0.035714286	0.214285714	0.089285714	0.642857143	0	0.111111111	0.166666667	1	0.171717172	0.111111111	0.101010101	0.101010101	0.272727273	0.805555556	0.027777778	0.611111111	0.194444444	0.638888889	0.25	0.055555556	0.111111111	0.083333333	0.416666667	0	32268.83
15	D	0.296391753	0.18814433	0.025773196	0.381443299	0.4375	0.326530612	0	0.081081081	0	0.12	0.083333333	0.078125	0.060810811	0.162162162	0.054054054	0.695945946	0.056	0.024024024	0.145985401	1	0.123123123	0.111111111	0.138138138	0.273273273	0.171171171	0.97080292	0.00729927	0.058394161	0.00729927	0.95620438	0.109489051	0	0.270072993	0.00729927	0.664233577	0	49679
16	A	0.323529412	0.235294118	0.014705882	0.308823529	0.424242424	0.2	0	0.047619048		0.142857143	0.071428571	0	0.047619048	0.142857143	0.095238095	0.714285714	0.166666667	0.127272727	0.285714286	1	0.109090909	0.090909091	0.127272727	0.181818182	0.163636364	0.785714286	0.214285714	0.678571429	0.071428571	0.714285714	0.321428571	0.142857143	0.178571429	0.071428571	0.392857143	0	31397
17	H	0.346573209	0.123831776	0.02258567	0.417445483	0.477308294	0.358139535	0	0.074626866	0.095238095	0.067039106	0.055737705	0.0995671	0.048507463	0.22761194	0.055970149	0.639925373	0.095744681	0.053333333	0.139534884	1	0.088571429	0.111428571	0.134285714	0.313333333	0.192380952	0.962790698	0.023255814	0.295348837	0.065116279	0.874418605	0.118604651	0.037209302	0.348837209	0.048837209	0.665116279	0	55327.5
18	H	0.39783105	0.135273973	0.014840183	0.396118721	0.42662116	0.365406644	0.011527378	0.066282421	0.135135135	0.068181818	0.064	0.068965517	0.03314121	0.132564841	0.086455331	0.708933718	0.06185567	0.067153285	0.242320819	1	0.113138686	0.129927007	0.105839416	0.227737226	0.208759124	0.916382253	0.034129693	0.496587031	0.088737201	0.64334471	0.225255973	0.087030717	0.175767918	0.148464164	0.4778157	0	38322
19	H	0.332988625	0.165460186	0.039296794	0.399172699	0.47794994	0.338812785	0.015544041	0.132124352	0.362318841	0.082901554	0.142144638	0.121293801	0.07253886	0.053108808	0.126943005	0.682642487	0.140625	0.190830235	0.353018373	0.972	0.119578686	0.086121437	0.086121437	0.157372986	0.161710037	0.595800525	0.202099738	0.442257218	0.064304462	0.472440945	0.547244094	0.18503937	0.060367454	0.322834646	0.263779528	0.299212598	22032
20	H	0.365313653	0.123783965	0.008386448	0.441462596	0.483893077	0.400788436	0.003039514	0.077507599	0.231884058	0.082822086	0.077903683	0.07704918	0.044832827	0.090425532	0.07674772	0.753039514	0.091743119	0.078333333	0.209478673	0.993119266	0.16375	0.104166667	0.115416667	0.162083333	0.190416667	0.892890995	0.085308057	0.656872038	0.041706161	0.632227488	0.214218009	0.074881517	0.097630332	0.145971564	0.425592417	0.008530806	32619
21	H	0.402417962	0.119170984	0.028497409	0.424870466	0.458483755	0.394039735	0.008130081	0.06300813	0.083333333	0.125	0.078740157	0.046218487	0.042682927	0.085365854	0.06097561	0.790650407	0.055555556	0.098765432	0.215736041	1	0.162738496	0.102132435	0.106621773	0.141414141	0.209876543	0.931472081	0.027918782	0.664974619	0.035532995	0.543147208	0.16751269	0.045685279	0.068527919	0.182741117	0.368020305	0	29510
22	H	0.382741823	0.108211552	0.098469033	0.436325678	0.500373413	0.380456026	0.031897927	0.186602871	0.376923077	0.177339901	0.191044776	0.181506849	0.108452951	0.03907496	0.150717703	0.619617225	0.206030151	0.215606676	0.241869919	0.964835165	0.198466396	0.099684258	0.058637799	0.084799278	0.154262517	0.432926829	0.557926829	0.18495935	0.00101626	0.453252033	0.651422764	0.042682927	0.031504065	0.266260163	0.197154472	0.571138211	18760
23	H	0.38829196	0.085587255	0.070025936	0.45757688	0.506614786	0.41301273	0.03562753	0.206477733	0.438848921	0.143712575	0.207373272	0.205479452	0.127935223	0.024291498	0.156275304	0.612145749	0.216931217	0.231911835	0.299614644	0.983739837	0.210828941	0.08816483	0.055103019	0.054623862	0.144226162	0.269749518	0.712909441	0.45761079	0.052986513	0.353564547	0.790944123	0.06743738	0.010597303	0.319845857	0.136801541	0.69460501	17073
24	H	0.481169694	0.089499335	0.1134249	0.361098804	0.420901246	0.309719934	0.019631902	0.218404908	0.342592593	0.177966102	0.223234624	0.212765957	0.125153374	0.025766871	0.202453988	0.549693252	0.18018018	0.201126761	0.198083067	0.983783784	0.13971831	0.069295775	0.05915493	0.063661972	0.313239437	0.400958466	0.583067093	0.669329073	0.003194888	0.512779553	0.635782748	0.020766773	0.017571885	0.306709265	0.178913738	0.575079872	17926
25	H	0.744923568	0.011635866	0.155601186	0.099475245	0.093491124	0.107683983	0	0.052752294	0.09375	0.037878788	0.050632911	0.055276382	0.020642202	0.091743119	0.151376147	0.697247706	0.2	0.005407947	0.575301205	0.981981982	0.012932048	0.023277686	0.019515636	0.047260757	0.875146955	0.262048193	0.719879518	0.03313253	0.698795181	0.968373494	0.760542169	0.551204819	0.00753012	0.43373494	0.174698795	0.706325301	45050.5
26	H	0.360177552	0.055802156	0.015852885	0.53455929	0.54015544	0.529192547	0	0.110320285	0.171428571	0.078341014	0.098321343	0.122065728	0.065243179	0.039145907	0.115065243	0.734282325	0.13592233	0.106976744	0.217607973	0.99086758	0.152713178	0.13255814	0.097674419	0.179844961	0.175968992	0.526578073	0.46345515	0.031561462	0.006644518	0.704318937	0.591362126	0.021594684	0.03654485	0.157807309	0.295681063	0.475083056	25886.5
27	H	0.414602347	0.034767492	0.100391134	0.517601043	0.520992366	0.514764565	0.036943745	0.183039463	0.267857143	0.179310345	0.166666667	0.196899225	0.109991604	0.024349286	0.155331654	0.631402183	0.277419355	0.143185739	0.291711518	0.982808023	0.177113283	0.128234618	0.099482461	0.138585394	0.179988499	0.081808396	0.90204521	0.002152853	0.05489774	0.424111948	0.911733046	0.076426265	0.004305705	0.270182992	0.144241119	0.875134553	17427
28	H	0.466779757	0.013288097	0.1043257	0.501272265	0.525075529	0.480340064	0.039481105	0.220530175	0.35978836	0.278571429	0.199079402	0.241150442	0.120135364	0.014100395	0.187253243	0.57642414	0.283166109	0.172923323	0.298961424	0.99543379	0.174920128	0.125798722	0.09384984	0.132188498	0.189297125	0.013353116	0.977002967	0.009643917	0	0.339762611	0.992581602	0.104599407	0.007418398	0.324183976	0.095697329	1.013353116	14437
29	H	0.410025707	0.028277635	0.132390746	0.545844045	0.57037037	0.524720893	0.043956044	0.248037677	0.316546763	0.242105263	0.243506494	0.252279635	0.147566719	0.02433281	0.187598116	0.538461538	0.288343558	0.140625	0.318363273	0.96969697	0.171296296	0.135416667	0.117476852	0.179398148	0.139467593	0.01996008	0.974051896	0.016966068	0.000998004	0.30738523	0.982035928	0.064870259	0.000998004	0.354291417	0.101796407	1.046906188	14206.5
30	H	0.397556913	0.037756802	0.098278734	0.544142143	0.560145808	0.530674847	0.020408163	0.193877551	0.387096774	0.125	0.188720174	0.198458574	0.110204082	0.02244898	0.144897959	0.636734694	0.289256198	0.113193403	0.318302387	0.992779783	0.143928036	0.143928036	0.134932534	0.188155922	0.137931034	0	0.99734748	0	0.00132626	0.624668435	0.921750663	0.050397878	0.00265252	0.25066313	0.118037135	0.923076923	18412
31	H	0.437632135	0.019556025	0.077167019	0.508985201	0.512513602	0.505652621	0.037383178	0.17549325	0.333333333	0.166666667	0.159235669	0.191056911	0.090342679	0.039460021	0.136033229	0.645898235	0.246031746	0.156295224	0.336194564	0.970394737	0.172214182	0.123733719	0.125180897	0.174384949	0.154848046	0.057224607	0.934191702	0	0	0.679542203	0.892703863	0.092989986	0.008583691	0.214592275	0.153075823	0.846924177	19175
32	Z	0.349737533	0.131233596	0.010498688	0.454068241	0.503364738	0.407170294	0	0.050578035	0.131578947	0.042253521	0.042780749	0.059748428	0.031791908	0.119942197	0.072254335	0.75433526	0.078947368	0.072033898	0.131931166	1	0.202542373	0.146610169	0.11440678	0.112711864	0.129661017	0.980879541	0.009560229	0.449330784	0.240917782	0.804971319	0.116634799	0.013384321	0.131931166	0.076481836	0.543021033	0	19417
33	H	0.366004559	0.164115923	0.055030935	0.420709866	0.486707566	0.360349127	0.018575851	0.174922601	0.391566265	0.143497758	0.177871148	0.171280277	0.09752322	0.069659443	0.118421053	0.635448916	0.155913978	0.201066886	0.279007972	0.986754967	0.19039803	0.089864588	0.070988921	0.058268363	0.130898646	0.708591674	0.258635961	0.893711249	0.010628875	0.30469442	0.418954827	0.093002657	0.04340124	0.259521701	0.197519929	0.049601417	19562
34	H	0.258373206	0.266347687	0.023524721	0.373205742	0.405612245	0.344594595	0	0.115384615	0.438596491	0.106598985	0.109014675	0.122004357	0.068376068	0.054487179	0.097222222	0.728632479	0.152284264	0.146572104	0.242926829	0.993421053	0.226950355	0.090780142	0.071867612	0.045390071	0.095035461	0.939512195	0.043902439	0.835121951	0.023414634	0.64097561	0.176585366	0.030243902	0.026341463	0.182439024	0.218536585	0.009756098	25338
35	H	0.277874564	0.212108014	0.039198606	0.43989547	0.505144995	0.383048085	0.003960396	0.14950495	0.328125	0.167487685	0.155555556	0.142553191	0.071287129	0.066336634	0.089108911	0.69009901	0.152439024	0.189030884	0.354740061	1	0.22257721	0.089456869	0.071884984	0.077742279	0.080937167	0.604485219	0.324159021	0.685015291	0.036697248	0.44138634	0.44138634	0.078491335	0.027522936	0.292558614	0.182466871	0.093781855	19667
36	A	0.25748503	0.22754491	0.005988024	0.431137725	0.469879518	0.392857143	0	0.138888889	0	0.133333333	0.076923077	0.212121212	0.111111111	0.097222222	0.055555556	0.708333333	0	0.176870748	0.260869565	1	0.142857143	0.108843537	0.136054422	0.06122449	0.115646259	0.84057971	0.072463768	0.608695652	0.072463768	0.565217391	0.231884058	0.144927536	0.072463768	0.173913043	0.333333333	0	28486
37	H	0.388059701	0.089552239	0.011940299	0.481343284	0.523664122	0.440875912	0	0.096124031	0.315789474	0.094017094	0.084548105	0.109271523	0.041860465	0.057364341	0.079069767	0.764341085	0.169014085	0.143298969	0.178970917	0.996183206	0.18556701	0.113402062	0.118556701	0.102061856	0.120618557	0.829977629	0.154362416	0.41163311	0.539149888	0.684563758	0.29753915	0.006711409	0.029082774	0.149888143	0.389261745	0.154362416	29137
38	H	0.283921933	0.17472119	0.00929368	0.428438662	0.481262327	0.381370826	0.004338395	0.07483731	0.157894737	0.067669173	0.071721311	0.078341014	0.037960954	0.068329718	0.094360087	0.760303688	0.076923077	0.084276018	0.25462963	1	0.193438914	0.130090498	0.115384615	0.117647059	0.110859729	0.880787037	0.023148148	0.188657407	0.052083333	0.798611111	0.200231481	0.106481481	0.021990741	0.152777778	0.393518519	0.09375	33408
39	H	0.287328491	0.179983858	0.011702986	0.440274415	0.46973572	0.413793103	0.007332722	0.093492209	0.185185185	0.08583691	0.092558984	0.094444444	0.058661778	0.053162236	0.078826764	0.7736022	0.131428571	0.111055777	0.236947791	0.990415335	0.222609562	0.12998008	0.080677291	0.075697211	0.097111554	0.78815261	0.197791165	0.65562249	0.00502008	0.570281124	0.320281124	0.011044177	0.036144578	0.145582329	0.270080321	0.180722892	26538
40	H	0.258885942	0.160212202	0.007427056	0.455172414	0.477223427	0.434060228	0	0.096736597	0.243902439	0.081967213	0.1	0.093301435	0.054778555	0.058275058	0.071095571	0.77039627	0.112426036	0.093475533	0.156808803	0.986842105	0.218946048	0.123588457	0.105395232	0.097239649	0.101631117	0.986244842	0.002751032	0.379642366	0.004126547	0.803301238	0.132049519	0.006877579	0.044016506	0.083906465	0.412654746	0	31318
41	H	0.320200573	0.172636103	0.010744986	0.405444126	0.451515152	0.364130435	0	0.074204947	0.333333333	0.049079755	0.05033557	0.100746269	0.033568905	0.093639576	0.068904594	0.759717314	0.094339623	0.073043478	0.169456067	0.993589744	0.154782609	0.134782609	0.125217391	0.174782609	0.140869565	0.989539749	0.006276151	0.414225941	0.012552301	0.859832636	0.121338912	0.00209205	0.073221757	0.069037657	0.510460251	0	38846
42	H	0.407356003	0.119014573	0.084663428	0.407009022	0.452135493	0.3667979	0.034100597	0.231884058	0.395683453	0.220858896	0.249185668	0.212880143	0.131287298	0.019607843	0.131287298	0.611253197	0.266304348	0.242509363	0.29704797	0.975655431	0.217228464	0.093632959	0.048220974	0.031367041	0.132958801	0.217712177	0.778597786	0.895756458	0	0.368081181	0.823800738	0.04797048	0.009225092	0.342250923	0.106088561	0.798892989	15961
43	H	0.239060832	0.209178228	0.016008538	0.490394877	0.542099193	0.445878848	0.004352557	0.07616975	0.24137931	0.072727273	0.068085106	0.084632517	0.044613711	0.062023939	0.109902067	0.748639826	0.105633803	0.079925651	0.43189018	0.988304094	0.146840149	0.135687732	0.143742255	0.208178439	0.086741016	0.361140444	0.635691658	0.432946146	0.1531151	0.678986272	0.41499472	0.10876452	0.019007392	0.141499472	0.241816262	0.038014784	24493
44	H	0.301757813	0.128417969	0.017089844	0.459960938	0.504459861	0.416746872	0.012738854	0.14118896	0.3	0.160278746	0.121807466	0.163972286	0.083864119	0.040339703	0.100849257	0.71656051	0.104938272	0.149024246	0.140161725	0.992031873	0.221170905	0.12300414	0.065641632	0.085748078	0.105854524	0.862533693	0.123989218	0.442048518	0.001347709	0.734501348	0.249326146	0.013477089	0.030997305	0.113207547	0.384097035	0.128032345	29094
45	H	0.315639269	0.127283105	0.00456621	0.473744292	0.507710558	0.442244224	0	0.081927711	0.173913043	0.108	0.077102804	0.087064677	0.043373494	0.05060241	0.06626506	0.793975904	0.114285714	0.067077344	0.193498452	0.995454545	0.195756331	0.127994524	0.110882957	0.124572211	0.154004107	0.812693498	0.184210526	0.178018576	0	0.817337461	0.191950464	0.009287926	0.009287926	0.078947368	0.441176471	0.099071207	33017
46	H	0.313240598	0.144770737	0.010303967	0.424523442	0.456340956	0.393258427	0	0.082524272	0.243243243	0.069444444	0.072892938	0.093506494	0.050970874	0.066747573	0.063106796	0.786407767	0.078014184	0.088888889	0.152421652	0.996478873	0.20952381	0.137777778	0.105396825	0.094603175	0.136507937	0.988603989	0.005698006	0.433048433	0.00997151	0.814814815	0.121082621	0.008547009	0.041310541	0.07977208	0.424501425	0	32732.5
47	H	0.321756487	0.134131737	0.016367265	0.512175649	0.54621149	0.480828221	0.003117693	0.078721746	0.205128205	0.084158416	0.070121951	0.087719298	0.038971161	0.092751364	0.074045207	0.750584567	0.127272727	0.077038519	0.322641509	0.985754986	0.153576788	0.127063532	0.152576288	0.194597299	0.115557779	0.445283019	0.540566038	0.45754717	0.268867925	0.659433962	0.418867925	0.044339623	0.039622642	0.131132075	0.313207547	0.071698113	27849.5
48	H	0.302867384	0.222990271	0.013568868	0.403225806	0.456838565	0.358152686	0	0.085714286	0.240506329	0.105978261	0.088343558	0.082894737	0.053333333	0.127619048	0.102857143	0.681904762	0.116465863	0.08147916	0.340359578	0.996303142	0.136947665	0.121591977	0.124725791	0.189282357	0.126919461	0.589584625	0.329820211	0.588964662	0.043397396	0.502789833	0.365158091	0.121512709	0.10849349	0.177929324	0.339119653	0.008059516	31173
49	H	0.304937602	0.206185567	0.011937059	0.444384156	0.482598608	0.410805301	0	0.089133089	0.414634146	0.070351759	0.072115385	0.106699752	0.039072039	0.113553114	0.087912088	0.705738706	0.128787879	0.055033557	0.312581064	0.991111111	0.136241611	0.116107383	0.139597315	0.226845638	0.117449664	0.592736706	0.387808042	0.715953307	0.009079118	0.587548638	0.364461738	0.035019455	0.077821012	0.159533074	0.332036316	0.04150454	30695
50	H	0.365637066	0.135907336	0.012741313	0.436293436	0.483454399	0.393042191	0.003539823	0.077876106	0.301886792	0.08974359	0.075125209	0.080979284	0.042477876	0.092920354	0.092035398	0.736283186	0.130681818	0.052737318	0.251572327	0.990521327	0.137619287	0.127574083	0.126067303	0.23656454	0.156202913	0.855345912	0.123689727	0.921383648	0.009433962	0.360587002	0.234800839	0.049266247	0.109014675	0.134171908	0.397274633	0	34785
51	H	0.327718676	0.14893617	0.020981087	0.488475177	0.54505356	0.438508625	0.004839685	0.141560799	0.258426966	0.108433735	0.143352601	0.139593909	0.077434967	0.067150635	0.121597096	0.666061706	0.152173913	0.150036153	0.385930309	0.985611511	0.181489516	0.114605929	0.102313811	0.13087491	0.117136659	0.517422748	0.436554898	0.684418146	0.108481262	0.374753452	0.487179487	0.133464826	0.031558185	0.266929652	0.170282709	0.021696252	21633
52	H	0.344930417	0.152584493	0.015407555	0.453777336	0.519396552	0.397601476	0	0.081051479	0.121212121	0.081871345	0.070539419	0.092807425	0.038335159	0.121577218	0.092004381	0.699890471	0.167938931	0.059674503	0.351874244	1	0.129596142	0.113924051	0.131404461	0.230861965	0.165762508	0.521160822	0.46070133	0.76783555	0.029020556	0.571946796	0.373639661	0.07980653	0.100362757	0.178960097	0.297460701	0	29836.5
53	Z	0.353257621	0.120442319	0.011356844	0.465630604	0.507050889	0.426239067	0	0.083440308	0.189189189	0.108552632	0.068923821	0.099863201	0.050064185	0.05648267	0.09563543	0.758023107	0.074889868	0.100448096	0.22875817	0.981595092	0.212098581	0.117625093	0.084391337	0.098954444	0.153846154	0.906862745	0.045751634	0.631535948	0.093954248	0.527777778	0.205065359	0.069444444	0.034313725	0.166666667	0.352124183	0.006535948	16805
54	H	0.444444444	0	0	0.388888889	0.833333333	0.166666667	0	0		0	0	0	0	0	0	1	0	0	0	1	0.071428571	0	0.142857143	0.428571429	0.285714286	0	0.2	1	0	0.8	1	0	0.8	0	0.6	0	19689.67
55	H	0.384157509	0.146520147	0.032967033	0.417124542	0.467908903	0.376847291	0.004390779	0.124039517	0.168831169	0.097222222	0.119469027	0.128540305	0.071350165	0.099890231	0.128430296	0.646542261	0.08490566	0.069214876	0.606923077	1	0.068698347	0.100206612	0.100206612	0.257231405	0.29803719	0.063846154	0.893846154	0.729230769	0.068461538	0.353076923	0.786923077	0.350769231	0.076923077	0.412307692	0.116153846	0.233076923	21543.5
56	H	0.507809014	0.081659973	0.024542615	0.386434627	0.437992126	0.343673469	0.004618938	0.125866051	0.194915254	0.098360656	0.13258427	0.118764846	0.056581986	0.094688222	0.183602771	0.595842956	0.077777778	0.031969911	0.695680206	1	0.039022097	0.086506817	0.094499295	0.208274565	0.470145745	0.047066409	0.887814313	0.791102515	0.084461638	0.122501612	0.850419084	0.519664732	0.039329465	0.559638943	0.068343005	0	18158
57	A	0.617886179	0.067750678	0.04200542	0.304878049	0.345345345	0.271604938	0	0.124444444	0.255319149	0	0.086956522	0.163636364	0.048888889	0.057777778	0.168888889	0.648888889	0.083333333	0.037790698	0.730314961	0.939393939	0.068313953	0.085755814	0.068313953	0.11627907	0.559593023	0.001968504	0.970472441	0.246062992	0.742125984	0.171259843	0.952755906	0.738188976	0.015748031	0.712598425	0.027559055	0.187007874	20684.5
58	A	0.238095238	0.2	0.019047619	0.495238095	0.490196078	0.5	0	0.038461538	0	0	0	0.074074074	0	0.25	0.057692308	0.653846154	0	0.064516129	0.508196721	1	0.150537634	0.086021505	0.086021505	0.247311828	0.150537634	0.032786885	0.885245902	0.93442623	0.032786885	0.229508197	0.573770492	0.131147541	0.016393443	0.360655738	0.06557377	0	21282
59	A	0.344444444	0.127777778	0.094444444	0.472222222	0.5	0.445652174	0	0.082352941	0.142857143	0.060606061	0.045454545	0.12195122	0.047058824	0.211764706	0.129411765	0.576470588	0.1	0.053571429	0.5	1	0.047619048	0.154761905	0.071428571	0.285714286	0.279761905	0	0.907407407	0.37962963	0.194444444	0.416666667	0.768518519	0.37037037	0.018518519	0.435185185	0.12962963	0	22504.25
60	A	0.376712329	0.116438356	0.095890411	0.479452055	0.536231884	0.428571429	0	0.057142857	0	0.125	0.027027027	0.090909091	0.057142857	0.285714286	0.214285714	0.414285714	0.142857143	0.044776119	0.591397849	1	0.059701493	0.097014925	0.074626866	0.246268657	0.335820896	0.043010753	0.752688172	0.870967742	0.129032258	0.010752688	0.913978495	0.279569892	0.010752688	0.505376344	0.021505376	0	21340.1
61	A	0.345945946	0.07027027	0.054054054	0.554054054	0.580110497	0.529100529	0.019512195	0.112195122	0.095238095	0.04	0.152380952	0.07	0.058536585	0.082926829	0.175609756	0.629268293	0.137931034	0.041666667	0.487804878	1	0.06547619	0.125	0.083333333	0.342261905	0.261904762	0.014634146	0.931707317	0.614634146	0.024390244	0.185365854	0.726829268	0.253658537	0.024390244	0.468292683	0.087804878	0.009756098	23726.5
62	H	0.407009346	0.101869159	0.052803738	0.470560748	0.554153523	0.403700589	0.01489573	0.171797418	0.2	0.20754717	0.20113852	0.139583333	0.09632572	0.091360477	0.161866931	0.572989076	0.16937355	0.071537291	0.605008078	1	0.086250634	0.104515474	0.081177067	0.208016235	0.328767123	0.016155089	0.931340872	0.640549273	0.082390953	0.166397415	0.815024233	0.357835218	0.008077544	0.564620355	0.052504039	0.113893376	19623.5
